icd,kw
B37.8,bệnh do nhiễm nấm candida ở các vị trí khác
B37.9,"bệnh do nhiễm nấm candida , không xác định"
B38,bệnh nhiễm nấm coccidioides
B38.0,bệnh nhiễm nấm coccidioides ở phổi cấp tính
B35.1,bệnh nấm móng tay
B35.2,bệnh nấm da bàn tay
B35.3,bệnh nấm da chân
B20.7,bệnh hiv dẫn đến đa nhiễm trùng
B20.8,bệnh hiv dẫn đến các bệnh nhiễm trùng và ký sinh trùng khác
B20.9,bệnh hiv dẫn đến bệnh nhiễm trùng và ký sinh trùng không đặc hiệu
B21,bệnh do virus gây suy giảm miễn dịch ở người ( hiv ) dẫn đến các u ác tính
B21.0,bệnh hiv dẫn đến ung thư kaposi
B21.1,bệnh hiv dẫn đến u lympho burkitt
B21.2,bệnh hiv dẫn đến các loại u lympho không hodgkin
C08.9,"u ác của tuyến nước bọt chính , không đặc hiệu"
C09,u ác của amiđan
C11.1,u ác của vách sau của mũi hầu
C11.2,u ác của vách bên của mũi hầu
D74.0,methemoglobin huyết bẩm sinh
D74.8,methemoglobin huyết khác
D74.9,"methaemoglobin huyết , không đặc hiệu"
D75,các bệnh máu và cơ quan tạo máu khác
D75.0,tăng hồng cầu gia đình
D75.1,bệnh tăng hồng cầu thứ phát
D75.8,bệnh đặc hiệu khác của máu và cơ quan tạo máu
E06.9,viêm giáp không đặc hiệu
E07,các rối loạn khác của tuyến giáp
E07.0,tăng tiết calcitonin
E46,suy dinh dưỡng do thiếu protein năng lượng không xác định
E50,thiếu vitamin a
E50.0,khô kết mạc do thiếu vitamin a
E50.1,vết bitot và khô kết mạc do thiếu vitamin a
E34.3,"vóc dáng lùn , không phân loại nơi khác"
E34.4,thể tạng cao
E34.5,hội chứng không nhạy cảm androgen
E34.8,rối loạn nội tiết xác định khác
E34.9,"rối loạn nội tiết , không đặc hiệu"
E35*,rối loạn tuyến nội tiết trong các bệnh phân loại nơi khác
E35.0*,rối loạn tuyến giáp trong các bệnh không phân loại nơi khác
E35.1*,rối loạn tuyến thượng thận trong các bệnh phân loại nơi khác
E35.8*,rối loạn của các tuyến nội tiết khác trong các bệnh phân loại nơi khác
E40,kwashiorkor
E29.8,rối loạn chức năng tinh hoàn khác
E29.9,"rối loạn chức năng tinh hoàn , không đặc hiệu"
E30,"rối loạn lúc dậy thì , không phân loại nơi khác"
E30.0,phát triển đặc tính sinh dục muộn
E30.1,dậy thì sớm
E30.8,rối loạn dậy thì khác
E30.9,"rối loạn dậy thì , không đặc hiệu"
E31,rối loạn chức năng đa tuyến
E44.0,suy dinh dưỡng vừa do thiếu protein năng lượng
E44.1,suy dinh dưỡng nhẹ do thiếu protein năng lượng
E45,chậm phát triển sau suy dinh dưỡng do thiếu protein năng lượng
E43,"suy dinh dưỡng nặng do thiếu protein - năng lượng , không đặc hiệu"
E44,suy dinh dưỡng vừa và nhẹ do thiếu protein - năng lượng
E32.1,áp xe tuyến ức
E32.8,bệnh tuyến ức khác
E32.9,bệnh tuyến ức không đặc hiệu
E34,rối loạn nội tiết khác
E34.0,hội chứng carcinoid
E34.1,tăng tiết khác của hormon ruột
E34.2,"tiết hormon lạc chỗ , không phân loại nơi khác"
E41,suy dinh dưỡng thể marasmus
E42,thể hỗn hợp kwashiorkor - marasmus
E31.0,suy đa tuyến tự miễn
E31.1,bệnh đa u tuyến nội tiết
E31.8,rối loạn chức năng đa tuyến khác
E31.9,"rối loạn chức năng đa tuyến , không đặc hiệu"
E32,bệnh tuyến ức
E32.0,tăng sản tuyến ức kéo dài
D57.0,thiếu máu hồng cầu hình liềm có cơn tan máu
D57.1,thiếu máu hồng cầu hình liềm không có cơn tan máu
D57.2,di hợp tử kép hồng cầu hình liềm với các hb bất thường khác
D57.3,hồng cầu hình liềm thể nhẹ
E20.9,"suy tuyến cận giáp , không đặc hiệu"
E21,cường cận giáp và các rối loạn khác của tuyến cận giáp
E21.0,cường cận giáp nguyên phát
E21.1,cường cận giáp thứ phát không phân loại nơi khác
E21.2,cường cận giáp cấp 3
E21.3,"cường cận giáp , không đặc hiệu"
E21.4,rối loạn xác định khác của tuyến cận giáp
E16.0,"hạ đường máu do thuốc , không hôn mê"
E16.1,hạ đường máu khác
E16.2,hạ đường máu không đặc hiệu
E16.3,tăng tiết glucagon
E16.4,tiết gastrin bất thường
E16.8,rối loạn xác định khác của - bài tiết của tuyến tụy nội tiết
E21.5,"rối loạn tuyến cận giáp , không đặc hiệu"
E22,cường tuyến yên
E22.0,bệnh to đầu chi và chứng khổng lồ do tuyến yên ( m14 . 5 * )
E22.1,tăng prolactin máu
E22.2,hội chứng tiết hormon kháng bài niệu ( adh ) không thích hợp
E22.8,cường năng khác của tuyến yên
E13.4†,"bệnh đái tháo đường xác định khác , có biến chứng thần kinh"
E13.5,"bệnh đái tháo đường xác định khác , có biến chứng mạch máu ngoại biên"
E13.6,"bệnh đái tháo đường xác định khác , có biến chứng xác định khác"
E13.7,"bệnh đái tháo đường xác định khác , có đa biến chứng"
E14.9,"đái tháo đường không đặc hiệu , chưa có biến chứng"
E15,hôn mê hạ đường huyết không do đái tháo đường
E16,rối loạn khác của tuyến tụy nội tiết
E14.5,"đái tháo đường không đặc hiệu , có biến chứng mạch máu ngoại biên"
E14.6,"đái tháo đường không đặc hiệu , có biến chứng xác định khác"
E14.7,"đái tháo đường không đặc hiệu , có đa biến chứng"
E14.8,"đái tháo đường không đặc hiệu , có biến chứng không xác định"
E13.8,"bệnh đái tháo đường xác định khác , có biến chứng không xác định"
E13.9,"bệnh đái tháo đường xác định khác , chưa có biến chứng"
E14,các thể loại đái tháo đường không xác định
E14.0,"đái tháo đường không đặc hiệu , có hôn mê"
E14.1,"đái tháo đường không đặc hiệu , có nhiễm toan ceton"
E14.2†,"đái tháo đường không đặc hiệu , có biến chứng thận"
E14.3†,"đái tháo đường không đặc hiệu , có biến chứng mắt"
E14.4†,"đái tháo đường không đặc hiệu , có biến chứng thần kinh"
E16.9,"rối loạn bài tiết của tuyến tụy nội tiết , không xác định"
E20,suy tuyến cận giáp
E20.0,suy tuyến cận giáp không rõ nguyên nhân
E20.1,giả suy tuyến cận giáp
E20.8,suy tuyến cận giáp khác
D55.0,thiếu máu do thiếu men glucose - 6 - phosphate dehydrogenase
D55.1,thiếu máu do các rối loạn chuyển hóa glutathione khác
D55.2,thiếu máu do rối loạn các men phân giải glucose
D55.3,thiếu máu do rối loạn chuyển hóa nucleotide
D71,rối loạn chức năng bạch cầu hạt trung tính
D72,các rối loạn khác của bạch cầu
D72.0,bất thường di truyền của bạch cầu
D72.1,tình trạng tăng bạch cầu ưa acid
D72.8,rối loạn đặc hiệu khác của bạch cầu
D55.8,thiếu máu khác do rối loạn men
D55.9,"thiếu máu do rối loạn men , không đặc hiệu"
D56,bệnh thalassemia
D56.0,bệnh alpha thalassemia
E10.4†,"bệnh đái tháo đường type 1 , có biến chứng thần kinh"
E10.5,"bệnh đái tháo đường type 1 , có biến chứng mạch máu ngoại biên"
E10.6,"bệnh đái tháo đường type 1 , có biến chứng xác định khác"
E05.8,nhiễm độc giáp khác
E05.9,"nhiễm độc giáp , không đặc hiệu"
E06,viêm giáp
E06.0,viêm giáp cấp
E06.1,viêm giáp bán cấp
E06.2,viêm giáp mạn với nhiễm độc giáp thoáng qua
E06.3,viêm giáp tự miễn
E06.4,viêm giáp do thuốc
E06.5,viêm giáp mạn tính khác
E05.2,nhiễm độc giáp với bướu giáp đa nhân độc
E05.3,nhiễm độc giáp từ mô giáp lạc chỗ
E05.4,nhiễm độc giáp do thuốc
E05.5,cơn cường giáp cấp hay cơn bão giáp
E07.1,bướu giáp do rối loạn sinh hormon
E07.8,rối loạn được xác định khác của tuyến giáp
E07.9,"rối loạn tuyến giáp , không đặc hiệu"
E10,bệnh đái tháo đường type 1
E10.0,"bệnh đái tháo đường type 1 , có hôn mê"
E10.7,bệnh đái tháo đường type 1 ( đa biến chứng )
E10.8,"bệnh đái tháo đường type 1 , có biến chứng không xác định"
E10.1,"bệnh đái tháo đường type 1 , có nhiễm toan ceton"
E10.2†,"bệnh đái tháo đường type 1 , có biến chứng thận"
E10.3†,"bệnh đái tháo đường type 1 , có biến chứng mắt"
E24.4,hội chứng cushing giả do rượu
E24.8,hội chứng cushing khác
E24.9,"hội chứng cushing , không đặc hiệu"
E25,rối loạn thượng thận sinh dục
E25.0,rối loạn thượng thận - sinh dục bẩm sinh kết hợp với thiếu enzym
E27.9,"rối loạn tuyến thượng thận , không đặc hiệu"
E28,rối loạn chức năng buồng trứng
E28.0,thừa estrogen
E28.1,thừa androgen
E28.2,hội chứng buồng trứng đa nang
E28.3,suy buồng trứng nguyên phát
E23.2,đái tháo nhạt
E23.3,"rối loạn chức năng vùng dưới đồi , không phân loại nơi khác"
E23.6,rối loạn khác của tuyến yên
E23.7,"rối loạn tuyến yên , không đặc hiệu"
E24,hội chứng cushing
E24.0,bệnh cushing phụ thuộc tuyến yên
E22.9,"cường năng tuyến yên , không đặc hiệu"
E23,suy chức năng và rối loạn khác của tuyến yên
E23.0,suy tuyến yên
E23.1,suy tuyến yên do thuốc
E28.8,rối loạn chức năng buồng trứng khác
E28.9,"rối loạn chức năng buồng trứng , không đặc hiệu"
E29,rối loạn chức năng tinh hoàn
E29.0,cường năng tinh hoàn
E29.1,thiểu năng tinh hoàn
E25.8,rối loạn khác của thượng thận - sinh dục
E25.9,"rối loạn thượng thận - sinh dục , không đặc hiệu"
E26,cường aldosterone
E26.0,cường aldosterone nguyên phát
E26.1,cường aldosterone thứ phát
E26.8,cường aldosterone khác
E26.9,"cường aldosterone , không đặc hiệu"
E27,các rối loạn khác của tuyến thượng thận
E27.0,tăng hoạt động vỏ thượng thận khác
E27.1,thiểu năng vỏ thượng thận nguyên phát
E27.2,cơn addison
E27.3,thiểu năng vỏ thượng thận do thuốc
E27.4,thiểu năng vỏ thượng thận khác và không đặc hiệu
E27.5,cường năng tủy thượng thận
E27.8,rối loạn xác định khác của tuyến thượng thận
E24.1,hội chứng nelson
E24.2,hội chứng cushing do thuốc
E24.3,hội chứng acth lạc chỗ
D82.3,suy giảm miễn dịch sau đáp ứng bị khuyết thiếu với virus epstein - barr mang tính di truyền
D82.4,hội chứng tăng immunoglobulin e ( ige )
D82.8,suy giảm miễn dịch liên quan với các bất thường lớn đặc hiệu khác
D82.9,"suy giảm miễn dịch khiếm khuyết chủ yếu , không đặc hiệu"
D83,một số các biến thể khác của suy giảm miễn dịch
D83.0,suy giảm miễn dịch một số biến thể do bất thường về số lượng và chức năng lympho b
E11.3†,"bệnh đái tháo đường type 2 , có biến chứng mắt"
E11.4†,"bệnh đái tháo đường type 2 , có biến chứng thần kinh"
E11.5,"bệnh đái tháo đường type 2 , có biến chứng mạch máu ngoại biên"
E12.2†,"bệnh đái tháo đường liên quan đến suy dinh dưỡng , có biến chứng thận"
E12.3†,"bệnh đái tháo đường liên quan đến suy dinh dưỡng , có biến chứng mắt"
E12.4†,"bệnh đái tháo đường liên quan đến suy dinh dưỡng , có biến chứng thần kinh"
E11.6,"bệnh đái tháo đường type 2 , có biến chứng xác định khác"
E11.7,"bệnh đái tháo đường type 2 , có đa biến chứng"
E11.8,"bệnh đái tháo đường type 2 , có biến chứng không xác định"
E11.9,"bệnh đái tháo đường type 2 , chưa có biến chứng"
E12,bệnh đái tháo đường liên quan đến suy dinh dưỡng
E12.0,"bệnh đái tháo đường liên quan đến suy dinh dưỡng , có hôn mê"
E12.1,"bệnh đái tháo đường liên quan đến suy dinh dưỡng , có nhiễm toan ceton"
E12.5,"bệnh đái tháo đường liên quan đến suy dinh dưỡng , có biến chứng mạch máu ngoại biên"
E12.6,"bệnh đái tháo đường liên quan đến suy dinh dưỡng , có biến chứng xác định khác"
E12.7,"bệnh đái tháo đường liên quan đến suy dinh dưỡng , có đa biến chứng"
E10.9,"bệnh đái tháo đường type 1 , chưa có biến chứng"
E11,bệnh đái tháo đường type 2
E13.1,"bệnh đái tháo đường xác định khác , có nhiễm toan ceton"
E13.2†,"bệnh đái tháo đường xác định khác , có biến chứng thận"
E13.3†,"bệnh đái tháo đường xác định khác , có biến chứng mắt"
E11.0,"bệnh đái tháo đường type 2 , có hôn mê"
E11.1,"bệnh đái tháo đường type 2 , có nhiễm toan ceton"
E11.2†,"bệnh đái tháo đường type 2 , có biến chứng thận"
E12.8,"bệnh đái tháo đường liên quan đến suy dinh dưỡng , có biến chứng không xác định"
E12.9,"bệnh đái tháo đường liên quan đến suy dinh dưỡng , chưa có biến chứng"
E13,bệnh đái tháo đường xác định khác
E13.0,"bệnh đái tháo đường xác định khác , có hôn mê"
D60,suy tủy xương một dòng hồng cầu mắc phải ( giảm nguyên hồng cầu )
D60.0,suy tủy xương một dòng hồng cầu mắc phải mạn tính
D60.1,suy tủy xương một dòng hồng cầu mắc phải thoáng qua
D60.8,suy tủy xương một dòng hồng cầu mắc phải khác
D60.9,suy tủy xương một dòng hồng cầu mắc phải không đặc hiệu
D61,các thể suy tủy xương khác
D61.0,suy tủy xương bẩm sinh
D61.1,suy tủy xương do thuốc
E00.0,"hội chứng thiếu iod bẩm sinh , thể thần kinh"
E00.1,"hội chứng thiếu iod bẩm sinh , thể phù niêm"
E00.2,"hội chứng thiếu iod bẩm sinh , thể phối hợp"
E00.9,"hội chứng thiếu iod bẩm sinh , không đặc hiệu"
E01,rối loạn tuyến giáp liên quan đến thiếu iod và bệnh phối hợp
E01.0,bướu giáp lan tỏa ( địa phương ) - liên quan đến thiếu iod
E01.1,bướu giáp đa nhân ( địa phương ) do thiếu iod
E01.2,"bướu giáp ( địa phương ) do thiếu iod , không đặc hiệu"
E01.8,suy giáp mắc phải do thiếu iod không xác định
E02,suy giáp cận lâm sàng do thiếu iod
E03,suy giáp khác
E03.0,suy giáp bẩm sinh với bướu lan tỏa
E03.1,suy giáp bẩm sinh không có bướu
E03.2,suy giáp do thuốc và chất ngoại sinh khác
E03.3,suy giáp sau nhiễm trùng
E03.4,teo tuyến giáp ( mắc phải )
E03.5,hôn mê phù niêm
D89.0,tăng gammaglobulin máu đa dòng
D89.1,bệnh kháng thể ( tăng globulin ) ngưng kết lạnh
D89.2,tăng gammaglobulin máu không đặc hiệu
D89.3,hội chứng tái tạo miễn dịch
D89.8,"rối loạn xác định khác liên quan đến cơ chế miễn dịch , không phân loại nơi khác"
D89.9,"rối loạn liên quan đến cơ chế miễn dịch , không đặc hiệu"
E00,hội chứng thiếu iod bẩm sinh
E04.9,"bướu giáp không độc , không đặc hiệu"
E05,nhiễm độc giáp ( cường giáp )
E05.0,nhiễm độc giáp với bướu lan tỏa
E05.1,nhiễm độc giáp với bướu giáp đơn nhân độc
E03.8,suy giáp xác định khác
E03.9,"suy giáp , không đặc hiệu"
E04,bướu giáp không độc khác
E04.0,bướu giáp lan tỏa không độc
D86.2,bệnh sarcoid phổi và hạch bạch huyết
D86.3,bệnh sarcoid da
D86.8,bệnh sarcoid hỗn hợp và tại các khu vực khác
D86.9,bệnh sarcoid không đặc hiệu
D89,"rối loạn liên quan đến cơ chế miễn dịch , không phân loại nơi khác"
E04.1,bướu giáp đơn nhân không độc
E04.2,bướu giáp đa nhân không độc
E04.8,bướu giáp không độc đặc hiệu khác
